date,rpce,rdpi,date_num
1/1/59,1689.5,1876.8,1
2/1/59,1707.3,1884.5,2
3/1/59,1723.3,1896.6,3
4/1/59,1717.3,1908.9,4
5/1/59,1737.8,1920.5,5
6/1/59,1744.3,1927.1,6
7/1/59,1738,1923.1,7
8/1/59,1748.6,1911.6,8
9/1/59,1766.1,1911.8,9
10/1/59,1753.8,1914.9,10
11/1/59,1753.4,1929.1,11
12/1/59,1751,1947,12
1/1/60,1756.6,1954.4,13
2/1/60,1763.7,1953.7,14
3/1/60,1788.8,1955.4,15
4/1/60,1817.1,1962.6,16
5/1/60,1780,1966.3,17
6/1/60,1779.4,1966.7,18
7/1/60,1783.5,1967.8,19
8/1/60,1781.5,1964.9,20
9/1/60,1790,1967.9,21
10/1/60,1798.4,1975.6,22
11/1/60,1792.3,1966.2,23
12/1/60,1770.9,1955.5,24
1/1/61,1775.3,1975.8,25
2/1/61,1781.5,1983.9,26
3/1/61,1804,1991.6,27
4/1/61,1804.5,1996,28
5/1/61,1815.6,2011.2,29
6/1/61,1820.1,2033.2,30
7/1/61,1814.5,2040.4,31
8/1/61,1821,2039.9,32
9/1/61,1831.1,2042.3,33
10/1/61,1842.4,2063.7,34
11/1/61,1860.4,2083.8,35
12/1/61,1873.2,2095.5,36
1/1/62,1873.7,2089.2,37
2/1/62,1873.1,2099.6,38
3/1/62,1888.5,2113.7,39
4/1/62,1895.2,2122.7,40
5/1/62,1910,2123.7,41
6/1/62,1900.2,2126.4,42
7/1/62,1905.9,2134.9,43
8/1/62,1911.9,2136.4,44
9/1/62,1932.9,2136.9,45
10/1/62,1923.5,2145.5,46
11/1/62,1949.5,2153.1,47
12/1/62,1960.1,2162.2,48
1/1/63,1958.8,2178.1,49
2/1/63,1951.8,2164.1,50
3/1/63,1961.6,2172.5,51
4/1/63,1968.8,2182.9,52
5/1/63,1970.2,2190.2,53
6/1/63,1989.5,2203.3,54
7/1/63,1999.4,2205,55
8/1/63,2006.8,2214.7,56
9/1/63,2003,2230.7,57
10/1/63,2001.7,2245,58
11/1/63,2016.6,2248.7,59
12/1/63,2040.6,2266.7,60
1/1/64,2047.4,2276.1,61
2/1/64,2062,2282.6,62
3/1/64,2068.9,2337.1,63
4/1/64,2072.4,2349.7,64
5/1/64,2101.1,2362.4,65
6/1/64,2113.3,2371.2,66
7/1/64,2128.4,2378.8,67
8/1/64,2141.7,2393.4,68
9/1/64,2132.8,2402.5,69
10/1/64,2146.3,2402.6,70
11/1/64,2127,2415.6,71
12/1/64,2147.1,2439.3,72
1/1/65,2162.7,2444.4,73
2/1/65,2196.8,2443.8,74
3/1/65,2203.7,2450.9,75
4/1/65,2219.5,2454.7,76
5/1/65,2217.7,2481.2,77
6/1/65,2199,2483.9,78
7/1/65,2226.7,2509.9,79
8/1/65,2242.9,2522,80
9/1/65,2280.9,2592.6,81
10/1/65,2312.3,2577.1,82
11/1/65,2311.3,2595.8,83
12/1/65,2315.8,2605.7,84
1/1/66,2330.5,2609.1,85
2/1/66,2346.4,2617.4,86
3/1/66,2364.4,2625.2,87
4/1/66,2366.4,2616.9,88
5/1/66,2344,2620.9,89
6/1/66,2350.4,2632.5,90
7/1/66,2370.5,2642.7,91
8/1/66,2374.3,2656.3,92
9/1/66,2396.4,2670.7,93
10/1/66,2385.5,2680.5,94
11/1/66,2390.6,2691.9,95
12/1/66,2394.7,2688.6,96
1/1/67,2405.9,2717.3,97
2/1/67,2397.1,2721.7,98
3/1/67,2409.6,2742.7,99
4/1/67,2432.4,2742.3,100
5/1/67,2431.9,2747.9,101
6/1/67,2446.4,2758.5,102
7/1/67,2437.8,2770.5,103
8/1/67,2445.2,2779.3,104
9/1/67,2465.6,2777.7,105
10/1/67,2442.4,2776.4,106
11/1/67,2459.3,2792.7,107
12/1/67,2491.8,2819.5,108
1/1/68,2507.8,2822.2,109
2/1/68,2510.3,2842.7,110
