date,unempl_part
1/1/89,1444
2/1/89,1304
3/1/89,1143
4/1/89,1340
5/1/89,1226
6/1/89,1369
7/1/89,1255
8/1/89,1253
9/1/89,1366
10/1/89,1336
11/1/89,1364
12/1/89,1377
1/1/90,1331
2/1/90,1368
3/1/90,1290
4/1/90,1334
5/1/90,1339
6/1/90,1321
7/1/90,1415
8/1/90,1436
9/1/90,1380
10/1/90,1382
11/1/90,1390
12/1/90,1431
1/1/91,1414
2/1/91,1393
3/1/91,1609
4/1/91,1485
5/1/91,1583
6/1/91,1564
7/1/91,1523
8/1/91,1526
9/1/91,1560
10/1/91,1579
11/1/91,1611
12/1/91,1631
1/1/92,1656
2/1/92,1607
3/1/92,1627
4/1/92,1559
5/1/92,1693
6/1/92,1725
7/1/92,1732
8/1/92,1709
9/1/92,1771
10/1/92,1666
11/1/92,1709
12/1/92,1838
1/1/93,1697
2/1/93,1691
3/1/93,1653
4/1/93,1673
5/1/93,1587
6/1/93,1669
7/1/93,1573
8/1/93,1586
9/1/93,1620
10/1/93,1699
11/1/93,1626
12/1/93,1535
1/1/94,1561
2/1/94,1481
3/1/94,1585
4/1/94,1510
5/1/94,1517
6/1/94,1431
7/1/94,1451
8/1/94,1535
9/1/94,1424
10/1/94,1433
11/1/94,1381
12/1/94,1504
1/1/95,1522
2/1/95,1457
3/1/95,1442
4/1/95,1539
5/1/95,1522
6/1/95,1514
7/1/95,1589
8/1/95,1470
9/1/95,1480
10/1/95,1497
11/1/95,1444
12/1/95,1474
1/1/96,1465
2/1/96,1465
3/1/96,1455
4/1/96,1443
5/1/96,1492
6/1/96,1384
7/1/96,1494
8/1/96,1447
9/1/96,1363
10/1/96,1388
11/1/96,1367
12/1/96,1483
1/1/97,1408
2/1/97,1464
3/1/97,1394
4/1/97,1408
5/1/97,1349
6/1/97,1267
7/1/97,1300
8/1/97,1349
9/1/97,1323
10/1/97,1293
11/1/97,1299
12/1/97,1272
1/1/98,1326
2/1/98,1288
3/1/98,1381
4/1/98,1199
5/1/98,1206
6/1/98,1258
7/1/98,1259
8/1/98,1288
9/1/98,1296
10/1/98,1415
11/1/98,1319
12/1/98,1264
1/1/99,1272
2/1/99,1215
3/1/99,1185
4/1/99,1216
5/1/99,1258
6/1/99,1278
7/1/99,1188
8/1/99,1084
9/1/99,1259
10/1/99,1173
11/1/99,1201
12/1/99,1179
1/1/00,1136
2/1/00,1214
3/1/00,1217
4/1/00,1092
5/1/00,1247
6/1/00,1146
7/1/00,1221
8/1/00,1148
9/1/00,1116
10/1/00,1077
11/1/00,1114
12/1/00,1123
1/1/01,1203
2/1/01,1209
3/1/01,1195
4/1/01,1298
5/1/01,1113
6/1/01,1246
7/1/01,1235
8/1/01,1285
9/1/01,1136
10/1/01,1374
11/1/01,1380
12/1/01,1401
1/1/02,1284
2/1/02,1233
3/1/02,1305
4/1/02,1314
5/1/02,1368
6/1/02,1244
7/1/02,1384
8/1/02,1413
9/1/02,1336
10/1/02,1296
11/1/02,1273
12/1/02,1341
1/1/03,1393
2/1/03,1400
3/1/03,1411
4/1/03,1410
5/1/03,1428
6/1/03,1512
7/1/03,1412
8/1/03,1434
9/1/03,1525
10/1/03,1403
11/1/03,1289
12/1/03,1334
1/1/04,1426
2/1/04,1321
3/1/04,1403
4/1/04,1395
5/1/04,1311
6/1/04,1449
7/1/04,1375
8/1/04,1397
9/1/04,1308
10/1/04,1470
11/1/04,1396
12/1/04,1369
1/1/05,1359
2/1/05,1440
3/1/05,1441
4/1/05,1387
5/1/05,1472
6/1/05,1392
7/1/05,1430
8/1/05,1342
9/1/05,1414
10/1/05,1409
11/1/05,1492
12/1/05,1377
1/1/06,1236
2/1/06,1369
3/1/06,1334
4/1/06,1323
5/1/06,1337
6/1/06,1381
7/1/06,1364
8/1/06,1320
9/1/06,1345
10/1/06,1323
11/1/06,1327
12/1/06,1242
1/1/07,1279
2/1/07,1302
3/1/07,1179
4/1/07,1344
5/1/07,1263
6/1/07,1240
7/1/07,1312
8/1/07,1245
9/1/07,1235
10/1/07,1287
11/1/07,1347
12/1/07,1449
1/1/08,1431
2/1/08,1301
3/1/08,1366
4/1/08,1314
5/1/08,1437
6/1/08,1455
7/1/08,1505
8/1/08,1522
9/1/08,1583
10/1/08,1542
11/1/08,1627
12/1/08,1663
1/1/09,1647
2/1/09,1648
3/1/09,1671
4/1/09,1734
5/1/09,1728
6/1/09,1720
7/1/09,1797
8/1/09,1806
9/1/09,1902
10/1/09,1798
11/1/09,1674
12/1/09,1795
1/1/10,1907
2/1/10,1825
3/1/10,1957
4/1/10,1889
5/1/10,1892
6/1/10,1802
7/1/10,1867
8/1/10,1989
9/1/10,1797
10/1/10,1838
11/1/10,1721
12/1/10,1774
1/1/11,1794
2/1/11,1867
3/1/11,1832
4/1/11,1834
5/1/11,1830
6/1/11,1971
7/1/11,1777
8/1/11,1893
9/1/11,1767
10/1/11,1882
11/1/11,1754
12/1/11,1825
1/1/12,1746
2/1/12,1768
3/1/12,1765
4/1/12,1846
5/1/12,1826
6/1/12,1877
7/1/12,1950
