OBS,SDindex,SDGrowth
1975Q1,32.5,
1975Q2,33.7,3.692307692
1975Q3,34.41,2.106824926
1975Q4,35,1.714617844
1976Q1,37.2,6.285714286
1976Q2,37.9,1.88172043
1976Q3,38.27,0.976253298
1976Q4,40.3,5.304415992
1977Q1,42.37,5.136476427
1977Q2,45.94,8.425772953
1977Q3,49.09,6.8567697
1977Q4,52.1,6.13159503
1978Q1,55.19,5.930902111
1978Q2,57.3,3.823156369
1978Q3,60.17,5.008726003
1978Q4,62.54,3.938839953
1979Q1,65.26,4.349216501
1979Q2,68.74,5.332516089
1979Q3,72.01,4.757055572
1979Q4,73.42,1.95806138
1980Q1,75.04,2.206483247
1980Q2,76.07,1.372601279
1980Q3,76.97,1.18312081
1980Q4,70.44,-8.483824867
1981Q1,78.18,10.98807496
1981Q2,81.22,3.888462522
1981Q3,83.19,2.425510958
1981Q4,77.08,-7.344632768
1982Q1,81.7,5.993772704
1982Q2,81.04,-0.807833537
1982Q3,80.45,-0.728035538
1982Q4,82,1.926662523
1983Q1,81.78,-0.268292683
1983Q2,82.17,0.476889215
1983Q3,81.98,-0.231227942
1983Q4,83.19,1.475969749
1984Q1,83.63,0.528909725
1984Q2,84.79,1.387062059
1984Q3,85.03,0.283052247
1984Q4,86.09,1.24661884
1985Q1,86.94,0.987338831
1985Q2,88.35,1.621808144
1985Q3,90.25,2.150537634
1985Q4,90.09,-0.177285319
1986Q1,92.36,2.51970252
1986Q2,93.89,1.656561282
1986Q3,96.06,2.311215252
1986Q4,97.73,1.738496773
1987Q1,100,2.322725877
1987Q2,101.91,1.91
1987Q3,104.45,2.492395251
1987Q4,107.07,2.508377214
1988Q1,110.19,2.913981507
1988Q2,113.55,3.049278519
1988Q3,118.83,4.64993395
1988Q4,126.07,6.092737524
1989Q1,132.53,5.124137384
1989Q2,139.53,5.281822983
1989Q3,146.32,4.866336988
1989Q4,150.34,2.747402952
1990Q1,152.01,1.110815485
1990Q2,152.64,0.414446418
1990Q3,154.36,1.126834382
1990Q4,153.04,-0.85514382
1991Q1,153.03,-0.006534239
1991Q2,152.19,-0.548911978
1991Q3,151.92,-0.177409817
1991Q4,152.89,0.638493944
1992Q1,152.43,-0.300869906
1992Q2,151.37,-0.695401168
1992Q3,150.91,-0.303891128
1992Q4,149.67,-0.821681797
1993Q1,147.76,-1.276140843
1993Q2,146.51,-0.845966432
1993Q3,145.21,-0.887311446
1993Q4,144.92,-0.199710764
1994Q1,143.86,-0.731438035
1994Q2,141.05,-1.953287919
1994Q3,139.82,-0.872031195
1994Q4,138.77,-0.750965527
1995Q1,137.9,-0.626936658
1995Q2,138.81,0.659898477
1995Q3,140.44,1.174266984
1995Q4,140.39,-0.035602392
1996Q1,140.68,0.206567419
1996Q2,138.53,-1.528291157
1996Q3,138.29,-0.173247672
1996Q4,139.88,1.149757755
1997Q1,139.84,-0.028595939
1997Q2,141.21,0.979691076
1997Q3,144.51,2.336944976
1997Q4,146.81,1.591585357
1998Q1,150.68,2.636060214
1998Q2,154.74,2.694451818
1998Q3,159.99,3.392787902
1998Q4,163.65,2.287642978
1999Q1,166.32,1.631530706
1999Q2,169.67,2.014189514
1999Q3,175.3,3.318205929
1999Q4,180.38,2.897889333
2000Q1,189.68,5.155782237
2000Q2,195.08,2.846900042
2000Q3,201.95,3.521632151
2000Q4,208.42,3.203763308
2001Q1,215.81,3.545724978
2001Q2,221.45,2.613409944
2001Q3,228.12,3.011966584
2001Q4,233.47,2.345256882
2002Q1,240.86,3.165288902
2002Q2,252.33,4.762102466
2002Q3,265.1,5.060833036
2002Q4,274.27,3.459072048
2003Q1,282.45,2.982462537
2003Q2,289.69,2.563285537
2003Q3,300.69,3.797162484
2003Q4,321.1,6.787721574
2004Q1,335.1,4.360012457
2004Q2,356,6.236944196
2004Q3,398.01,11.8005618
2004Q4,410.44,3.12303711
2005Q1,422.26,2.879836273
2005Q2,433.87,2.749490835
2005Q3,444.08,2.35323945
2005Q4,453.76,2.179787426
2006Q1,456.33,0.566378702
2006Q2,455.53,-0.175311726
2006Q3,454.98,-0.12073848
2006Q4,449.96,-1.103345202
2007Q1,443.93,-1.340119122
2007Q2,437.19,-1.518257383
2007Q3,424.97,-2.795123402
2007Q4,413.32,-2.741369979
2008Q1,393.5,-4.795315978
2008Q2,366.2,-6.937738247
2008Q3,344.56,-5.909339159
2008Q4,,-2.298583701
2009Q1,,0.920865019
2009Q2,,-3.273091187
2009Q3,,-1.588460836
2009Q4,,2.102659246
2010Q1,,-0.348273773
2010Q2,,
2010Q3,,
2010Q4,,
2011Q1,,
2011Q2,,
2011Q3,,
2011Q4,,
2012Q1,,
2012Q2,,
2012Q3,,
2012Q4,,
2013Q1,,
2013Q2,,
2013Q3,,
2013Q4,,
2014Q1,,
2014Q2,,
2014Q3,,
2014Q4,,
2015Q1,,
2015Q2,,
2015Q3,,
2015Q4,,
2016Q1,,
2016Q2,,
2016Q3,,
2016Q4,,
2017Q1,,
2017Q2,,
2017Q3,,
2017Q4,,
2018Q1,,
2018Q2,,
2018Q3,,
2018Q4,,
2019Q1,,
2019Q2,,
2019Q3,,
2019Q4,,
2020Q1,,
2020Q2,,
2020Q3,,
2020Q4,,
