date,sd,sdg
1/1/75,16.42,
4/1/75,17.06,3.875226
7/1/75,17.53,2.784185
10/1/75,18.1,3.231245
1/1/76,18.64,3.026323
4/1/76,18.79,0.800703
7/1/76,19.51,3.828554
10/1/76,20.44,4.758848
1/1/77,22.14,8.321665
4/1/77,23.52,6.206399
7/1/77,25.46,8.27685
10/1/77,26.95,5.84781
1/1/78,28.07,4.149952
4/1/78,29.47,4.963949
7/1/78,30.76,4.376981
10/1/78,32.61,6.023289
1/1/79,33.63,3.121601
4/1/79,35.77,6.391586
7/1/79,37.11,3.740141
10/1/79,38.07,2.591726
1/1/80,38.77,1.817442
4/1/80,39.46,1.787449
7/1/80,38.34,-2.8481
10/1/80,34.27,-10.6003
1/1/81,40.27,17.50684
4/1/81,42.23,4.861545
7/1/81,41.39,-1.97747
10/1/81,38.48,-7.0395
1/1/82,40.26,4.628838
4/1/82,41.28,2.53782
7/1/82,40.21,-2.60551
10/1/82,40.06,-0.36054
1/1/83,40.75,1.718688
4/1/83,40.97,0.523817
7/1/83,41.14,0.430599
10/1/83,41.76,1.50887
1/1/84,41.95,0.454257
4/1/84,42.4,1.057327
7/1/84,42.9,1.195765
10/1/84,43.02,0.272555
1/1/85,43.69,1.564087
4/1/85,44.34,1.481622
7/1/85,45.17,1.86904
10/1/85,44.71,-1.01614
1/1/86,46.01,2.910147
4/1/86,46.93,2.000959
7/1/86,48.04,2.357219
10/1/86,48.75,1.48631
1/1/87,49.78,2.107113
4/1/87,51.03,2.519729
7/1/87,52.28,2.445134
10/1/87,53.47,2.276081
1/1/88,54.97,2.795112
4/1/88,57.13,3.945252
7/1/88,59.68,4.448373
10/1/88,63.3,6.066199
1/1/89,66.54,5.131782
4/1/89,70.14,5.39785
7/1/89,72.62,3.541867
10/1/89,74.54,2.642109
1/1/90,75.11,0.765248
4/1/90,75.35,0.32053
7/1/90,75.82,0.622361
10/1/90,74.19,-2.15172
1/1/91,73.52,-0.90379
4/1/91,73.12,-0.53429
7/1/91,72.87,-0.34068
10/1/91,73.09,0.290253
1/1/92,72.93,-0.2094
4/1/92,72,-1.2832
7/1/92,71.7,-0.4109
10/1/92,70.24,-2.03926
1/1/93,68.42,-2.58309
4/1/93,68.03,-0.58374
7/1/93,66.91,-1.63463
10/1/93,66.11,-1.20494
1/1/94,66.33,0.340854
4/1/94,66.55,0.331579
7/1/94,66.17,-0.57051
10/1/94,65.56,-0.92915
1/1/95,64.99,-0.86258
4/1/95,64.8,-0.30037
7/1/95,63.8,-1.54049
10/1/95,63.5,-0.46891
1/1/96,64.08,0.915116
4/1/96,64.57,0.755921
7/1/96,64.69,0.198175
10/1/96,63.78,-1.41773
1/1/97,65.05,1.997965
4/1/97,66.57,2.330914
7/1/97,67.63,1.592611
10/1/97,68.65,1.507377
1/1/98,70.88,3.249282
4/1/98,74.79,5.516339
7/1/98,76.07,1.711208
10/1/98,76.57,0.663682
1/1/99,79.41,3.711203
4/1/99,82.41,3.768753
7/1/99,84.36,2.375707
10/1/99,87.09,3.234623
1/1/00,90.08,3.432154
4/1/00,94.7,5.126509
7/1/00,97.4,2.849223
10/1/00,100,2.672024
1/1/01,103.45,3.45
4/1/01,106.91,3.348252
7/1/01,110.21,3.080927
10/1/01,111.78,1.422937
1/1/02,117.47,5.092976
4/1/02,125.82,7.109088
7/1/02,133.12,5.802894
10/1/02,137.32,3.151133
1/1/03,142.17,3.535192
4/1/03,148.29,4.303659
7/1/03,156.61,5.612785
10/1/03,162.25,3.59723
1/1/04,171.73,5.843555
4/1/04,188.12,9.546292
7/1/04,194.94,3.625518
10/1/04,199.15,2.159167
1/1/05,200.18,0.516565
4/1/05,207.8,3.805385
7/1/05,211.99,2.019955
10/1/05,209.81,-1.03131
1/1/06,209.08,-0.34824
4/1/06,208.36,-0.34012
7/1/06,201.09,-3.49128
10/1/06,197.38,-1.84443
1/1/07,198.6,0.618136
4/1/07,196.28,-1.16976
7/1/07,186.5,-4.9801
10/1/07,172.66,-7.42473
1/1/08,160.68,-6.93466
4/1/08,155.17,-3.43053
7/1/08,147.35,-5.04084
10/1/08,137.59,-6.61976
1/1/09,132.65,-3.59545
4/1/09,137.94,3.990836
7/1/09,142.79,3.516095
10/1/09,144.61,1.2723
1/1/10,145.95,0.926239
4/1/10,146.33,0.261861
7/1/10,143.7,-1.79428
10/1/10,140.96,-1.91266
1/1/11,136.61,-3.08135
4/1/11,137.55,0.686884
7/1/11,134.25,-2.40045
10/1/11,132.97,-0.95467
1/1/12,134.73,1.326932
4/1/12,136.52,1.328486
2012Q3,,
2012Q4,,
2013Q1,,
2013Q2,,
2013Q3,,
2013Q4,,
2014Q1,,
2014Q2,,
2014Q3,,
2014Q4,,
2015Q1,,
2015Q2,,
2015Q3,,
2015Q4,,
2016Q1,,
2016Q2,,
2016Q3,,
2016Q4,,
2017Q1,,
2017Q2,,
2017Q3,,
2017Q4,,
2018Q1,,
2018Q2,,
2018Q3,,
2018Q4,,
2019Q1,,
2019Q2,,
2019Q3,,
2019Q4,,
2020Q1,,
2020Q2,,
2020Q3,,
2020Q4,,
