DATE,growth
1/1/47,
4/1/47,-0.2
7/1/47,-0.1
10/1/47,1.5
1/1/48,1.6
4/1/48,1.8
7/1/48,0.5
10/1/48,0.2
1/1/49,-1.4
4/1/49,-0.4
7/1/49,1.1
10/1/49,-0.9
1/1/50,4
4/1/50,3
7/1/50,3.9
10/1/50,1.8
1/1/51,1.3
4/1/51,1.7
7/1/51,2
10/1/51,0.2
1/1/52,1
4/1/52,0.1
7/1/52,0.7
10/1/52,3.3
1/1/53,1.9
4/1/53,0.8
7/1/53,-0.6
10/1/53,-1.6
1/1/54,-0.5
4/1/54,0.1
7/1/54,1.1
10/1/54,2
1/1/55,2.9
4/1/55,1.7
7/1/55,1.3
10/1/55,0.6
1/1/56,-0.5
4/1/56,0.8
7/1/56,-0.1
10/1/56,1.6
1/1/57,0.6
4/1/57,-0.2
7/1/57,1
10/1/57,-1.1
1/1/58,-2.7
4/1/58,0.6
7/1/58,2.3
10/1/58,2.3
1/1/59,2
4/1/59,2.5
7/1/59,-0.1
10/1/59,0.3
1/1/60,2.2
4/1/60,-0.5
7/1/60,0.2
10/1/60,-1.3
1/1/61,0.6
4/1/61,1.9
7/1/61,1.6
10/1/61,2
1/1/62,1.8
4/1/62,1.1
7/1/62,0.9
10/1/62,0.2
1/1/63,1.3
4/1/63,1.3
7/1/63,1.9
10/1/63,0.8
1/1/64,2.2
4/1/64,1.1
7/1/64,1.4
10/1/64,0.3
1/1/65,2.5
4/1/65,1.4
7/1/65,2
10/1/65,2.4
1/1/66,2.5
4/1/66,0.3
7/1/66,0.7
10/1/66,0.8
1/1/67,0.9
4/1/67,0
7/1/67,0.8
10/1/67,0.8
1/1/68,2.1
4/1/68,1.7
7/1/68,0.7
10/1/68,0.4
1/1/69,1.6
4/1/69,0.3
7/1/69,0.6
10/1/69,-0.5
1/1/70,-0.2
4/1/70,0.2
7/1/70,0.9
10/1/70,-1.1
1/1/71,2.8
4/1/71,0.6
7/1/71,0.8
10/1/71,0.3
1/1/72,1.8
4/1/72,2.4
7/1/72,1
10/1/72,1.6
1/1/73,2.6
4/1/73,1.2
7/1/73,-0.5
10/1/73,1
1/1/74,-0.9
4/1/74,0.3
7/1/74,-1
10/1/74,-0.4
1/1/75,-1.2
4/1/75,0.8
7/1/75,1.7
10/1/75,1.3
1/1/76,2.3
4/1/76,0.8
7/1/76,0.5
10/1/76,0.7
1/1/77,1.2
4/1/77,2
7/1/77,1.8
10/1/77,0
1/1/78,0.3
4/1/78,3.9
7/1/78,1
10/1/78,1.3
1/1/79,0.2
4/1/79,0.1
7/1/79,0.7
10/1/79,0.3
1/1/80,0.3
4/1/80,-2
7/1/80,-0.2
10/1/80,1.8
1/1/81,2.1
4/1/81,-0.8
7/1/81,1.2
10/1/81,-1.2
1/1/82,-1.6
4/1/82,0.5
7/1/82,-0.4
10/1/82,0.1
1/1/83,1.2
4/1/83,2.2
7/1/83,2
10/1/83,2.1
1/1/84,1.9
4/1/84,1.7
1984-07-01,1
1984-10-01,0.8
1985-01-01,0.9
1985-04-01,0.8
1985-07-01,1.6
1985-10-01,0.8
1986-01-01,1
1986-04-01,0.4
1986-07-01,1
1986-10-01,0.5
1987-01-01,0.6
1987-04-01,1.1
1987-07-01,0.9
1987-10-01,1.7
1988-01-01,0.5
1988-04-01,1.3
1988-07-01,0.5
1988-10-01,1.3
1989-01-01,0.9
1989-04-01,0.7
1989-07-01,0.8
1989-10-01,0.2
1990-01-01,1
1990-04-01,0.4
1990-07-01,0
1990-10-01,-0.9
1991-01-01,-0.5
1991-04-01,0.7
1991-07-01,0.4
1991-10-01,0.4
1992-01-01,1.1
1992-04-01,1.1
1992-07-01,1
1992-10-01,1.1
1993-01-01,0.2
1993-04-01,0.6
1993-07-01,0.5
1993-10-01,1.3
1994-01-01,1
1994-04-01,1.4
1994-07-01,0.6
1994-10-01,1.1
1995-01-01,0.2
1995-04-01,0.2
1995-07-01,0.8
1995-10-01,0.7
1996-01-01,0.7
1996-04-01,1.7
1996-07-01,0.9
1996-10-01,1.1
1997-01-01,0.8
1997-04-01,1.5
1997-07-01,1.3
1997-10-01,0.8
1998-01-01,0.9
1998-04-01,0.9
1998-07-01,1.3
1998-10-01,1.7
1999-01-01,0.9
1999-04-01,0.8
1999-07-01,1.3
1999-10-01,1.8
2000-01-01,0.3
2000-04-01,2
2000-07-01,0.1
2000-10-01,0.6
2001-01-01,-0.3
2001-04-01,0.7
2001-07-01,-0.3
2001-10-01,0.3
2002-01-01,0.9
2002-04-01,0.5
2002-07-01,0.5
2002-10-01,0
2003-01-01,0.4
2003-04-01,0.8
2003-07-01,1.6
2003-10-01,0.9
2004-01-01,0.7
2004-04-01,0.6
2004-07-01,0.7
2004-10-01,0.8
2005-01-01,1
2005-04-01,0.4
2005-07-01,0.8
2005-10-01,0.5
2006-01-01,1.3
2006-04-01,0.4
2006-07-01,0
2006-10-01,0.7
2007-01-01,0.1
2007-04-01,0.9
2007-07-01,0.7
2007-10-01,0.4
2008-01-01,-0.4
2008-04-01,0.3
2008-07-01,-0.9
2008-10-01,-2.3
2009-01-01,-1.3
2009-04-01,-0.1
2009-07-01,0.4
2009-10-01,1
2010-01-01,0.6
2010-04-01,0.6
2010-07-01,0.6
2010-10-01,0.6
2011-01-01,0
2011-04-01,0.6
2011-07-01,0.3
2011-10-01,1
2012-01-01,0.5
2012-04-01,0.4
