OBS,SP500_OPEN,FTSE_OPEN,R_SP500_OPEN,R_FTSE_OPEN
1/2/90,353.4,2442.4,,
1/3/90,359.69,2451.3,1.764198948,0.363733364
1/4/90,358.76,2469.6,-0.258890812,0.743769813
1/5/90,355.67,2442,-0.865030659,-1.123881852
1/8/90,352.2,2445.1,-0.98041386,0.12686462
1/9/90,353.83,2429.1,0.461737574,-0.656520351
1/10/90,349.62,2424.5,-1.196972142,-0.189550081
1/11/90,347.31,2396.7,-0.66290975,-1.153252639
1/12/90,348.53,2402.9,0.350655682,0.258355007
1/15/90,339.93,2354.4,-2.498459565,-2.03904233
1/16/90,337,2369.4,-0.865678371,0.63508406
1/17/90,340.77,2355.6,1.112483256,-0.584128645
1/18/90,337.4,2358,-0.99385928,0.101833003
1/19/90,338.19,2346.2,0.233869761,-0.501680403
1/22/90,339.14,2346.3,0.280513375,0.00426212
1/23/90,330.38,2285,-2.616949435,-2.647359495
1/24/90,331.61,2267.6,0.371607249,-0.764402088
1/25/90,330.26,2292,-0.407935659,1.070279538
1/26/90,326.09,2297.6,-1.270680615,0.244030102
1/29/90,325.8,2317.5,-0.088972072,0.862391859
1/30/90,325.2,2325.5,-0.184331849,0.344605122
1/31/90,322.98,2314.9,-0.684997587,-0.456857962
2/1/90,329.08,2346.5,1.87104805,1.355836619
2/2/90,328.79,2346.1,-0.088163321,-0.017048118
2/5/90,330.92,2350,0.645740523,0.166095309
2/6/90,331.85,2345.4,0.280640527,-0.195936511
2/7/90,329.66,2314.7,-0.662123929,-1.317587354
2/8/90,333.75,2321.2,1.233038941,0.280420383
2/9/90,333.02,2323.6,-0.218966148,0.10334138
2/12/90,333.62,2313,0.180007249,-0.457232389
2/13/90,330.08,2292.9,-1.06675714,-0.872799131
2/14/90,331.02,2303.7,0.284374719,0.469913409
2/15/90,332.01,2293.3,0.298629243,-0.452469773
2/16/90,334.89,2322.1,0.863703075,1.248012038
2/19/90,,2317.9,,-0.181034532
2/20/90,332.72,2288.2,,-1.289612106
2/21/90,327.91,2251.8,-1.456211495,-1.60355859
2/22/90,327.67,2261.7,-0.073217612,0.438684652
2/23/90,325.7,2248.2,-0.603029209,-0.598684686
2/26/90,324.16,2208.5,-0.473949122,-1.781634399
2/27/90,328.68,2254.5,1.3847412,2.061466682
2/28/90,330.26,2255.5,0.479558997,0.044345899
3/1/90,331.89,2246.2,0.492336568,-0.413177832
3/2/90,332.74,2240.6,0.255781552,-0.24962124
3/5/90,335.54,2238,0.837977011,-0.116107725
3/6/90,333.74,2236.4,-0.537892762,-0.071517972
3/7/90,337.93,2222.5,1.247652672,-0.623474176
3/8/90,336.95,2240.9,-0.290422205,0.824488248
3/9/90,340.12,2263.3,0.936394513,0.994635437
3/12/90,337.93,2216.7,-0.645972307,-2.080432177
3/13/90,338.67,2224.1,0.21874085,0.333273593
3/14/90,336,2224.4,-0.791502198,0.013487693
3/15/90,336.87,2228,0.258593929,0.161710573
3/16/90,338.07,2239.6,0.355587538,0.519295643
3/19/90,341.91,2260.8,1.12945699,0.942145446
3/20/90,343.53,2244.8,0.472689956,-0.710230258
3/21/90,341.57,2239.4,-0.572180805,-0.240845752
3/22/90,339.74,2241,-0.537201685,0.071422197
3/23/90,335.69,2264.1,-1.199250415,1.025513416
3/26/90,337.22,2286.4,0.454742131,0.980119922
3/27/90,337.63,2294.1,0.121508498,0.336208154
3/28/90,341.5,2271.6,1.139705768,-0.985618072
3/29/90,342,2273.1,0.146305805,0.06601096
3/30/90,340.79,2253.5,-0.354428526,-0.865997547
4/2/90,339.94,2224.3,-0.249732035,-1.304230377
4/3/90,338.7,2232.4,-0.365437163,0.363498055
4/4/90,343.64,2246.8,1.447983795,0.642974174
4/5/90,341.09,2227.2,-0.744822569,-0.876179052
4/6/90,340.73,2243,-0.105599728,0.706906438
4/9/90,340.08,2222.1,-0.190949075,-0.936156083
4/10/90,341.37,2221,0.378604899,-0.049514979
4/11/90,342.07,2217.9,0.204846144,-0.139674266
4/12/90,341.92,2215.3,-0.043860291,-0.117296774
4/13/90,,,,
4/16/90,344.34,,,
4/17/90,344.74,2225.4,0.116096838,
4/18/90,344.68,2216.1,-0.017405935,-0.418778052
4/19/90,340.72,2192.8,-1.155542476,-1.056962821
4/20/90,338.09,2185.7,-0.774889339,-0.324312263
4/23/90,335.12,2184.6,-0.882345559,-0.050339795
4/24/90,331.05,2156.7,-1.221925527,-1.285346975
4/25/90,330.36,2157.4,-0.208645243,0.032451728
4/26/90,332.03,2143.5,0.504235734,-0.64637859
4/27/90,332.92,2137.3,0.26768946,-0.289665686
4/30/90,329.11,2109.8,-1.151017949,-1.295019393
5/1/90,330.8,2111.8,0.512192176,0.094750812
5/2/90,332.25,2121.7,0.437373444,0.467698975
5/3/90,334.48,2141.6,0.668938945,0.933555909
5/4/90,335.58,2146.4,0.328329101,0.223880691
5/7/90,338.39,,0.833869841,
5/8/90,340.53,2173.3,0.630415097,
5/9/90,342.01,2179.4,0.433674897,0.280285983
5/10/90,342.87,2162.9,0.251139018,-0.759969574
5/11/90,343.82,2155.6,0.276689804,-0.338080674
5/14/90,352,2203.9,2.351291098,2.215941113
5/15/90,354.75,2213.9,0.778214044,0.452714794
5/16/90,354.27,2213.2,-0.135398176,-0.031623411
5/17/90,354,2227.7,-0.076242115,0.653023105
5/18/90,354.47,2290.2,0.132680302,2.766948691
5/21/90,354.64,2263.6,0.047947428,-1.168268371
5/22/90,358,2303.5,0.942979596,1.747323911
5/23/90,358.43,2303.9,0.120039655,0.017363372
5/24/90,359.29,2287.9,0.239647888,-0.696897285
5/25/90,358.41,2275.9,-0.245227934,-0.52587877
5/28/90,,,,
5/29/90,354.58,2259.1,,
5/30/90,360.65,2327.8,1.697396848,2.995711164
5/31/90,360.86,2347.1,0.058211253,0.825690802
6/1/90,361.26,2345.3,0.110784922,-0.076719806
6/4/90,363.16,2383.9,0.52455878,1.632447653
6/5/90,367.4,2390.7,1.160766428,0.284840808
6/6/90,366.64,2365.8,-0.207073258,-1.046997896
6/7/90,365.92,2352,-0.196570993,-0.585020109
6/8/90,363.15,2373.8,-0.759875822,0.92260166
6/11/90,358.71,2351.3,-1.230170945,-0.952367995
6/12/90,361.63,2367.3,0.810732708,0.678169852
6/13/90,366.25,2390.9,1.269457065,0.991979888
6/14/90,364.9,2404.9,-0.369281689,0.583845855
6/15/90,362.89,2407.5,-0.55235854,0.108054204
6/18/90,362.91,2389.9,0.00551116,-0.733734063
6/19/90,356.88,2349.1,-1.675527882,-1.721924799
6/20/90,358.47,2375,0.444538371,1.096516141
6/21/90,359.1,2368.2,0.17559267,-0.286726457
6/22/90,360.52,2374.1,0.394653246,0.248824538
6/25/90,355.42,2361.2,-1.424724493,-0.544845392
6/26/90,352.32,2402.5,-0.876033522,1.733989748
6/27/90,352.06,2392.4,-0.073823792,-0.421281567
6/28/90,355.16,2376.6,0.876677655,-0.662615131
6/29/90,357.64,2354,0.69585017,-0.955488604
