DATE,usd_euro
1/1/99,1.1591
2/1/99,1.1203
3/1/99,1.0886
4/1/99,1.0701
5/1/99,1.063
6/1/99,1.0377
7/1/99,1.037
8/1/99,1.0605
9/1/99,1.0497
10/1/99,1.0706
11/1/99,1.0328
12/1/99,1.011
1/1/00,1.0131
2/1/00,0.9834
3/1/00,0.9643
4/1/00,0.9449
5/1/00,0.9059
6/1/00,0.9505
7/1/00,0.9386
8/1/00,0.9045
9/1/00,0.8695
10/1/00,0.8525
11/1/00,0.8552
12/1/00,0.8983
1/1/01,0.9376
2/1/01,0.9205
3/1/01,0.9083
4/1/01,0.8925
5/1/01,0.8753
6/1/01,0.853
7/1/01,0.8615
8/1/01,0.9014
9/1/01,0.9114
10/1/01,0.905
11/1/01,0.8883
12/1/01,0.8912
1/1/02,0.8832
2/1/02,0.8707
3/1/02,0.8766
4/1/02,0.886
5/1/02,0.917
6/1/02,0.9561
7/1/02,0.9935
8/1/02,0.9781
9/1/02,0.9806
10/1/02,0.9812
11/1/02,1.0013
12/1/02,1.0194
1/1/03,1.0622
2/1/03,1.0785
3/1/03,1.0797
4/1/03,1.0862
5/1/03,1.1556
6/1/03,1.1674
7/1/03,1.1365
8/1/03,1.1155
9/1/03,1.1267
10/1/03,1.1714
11/1/03,1.171
12/1/03,1.2298
1/1/04,1.2638
2/1/04,1.264
3/1/04,1.2261
4/1/04,1.1989
5/1/04,1.2
6/1/04,1.2146
7/1/04,1.2266
8/1/04,1.2191
9/1/04,1.2224
10/1/04,1.2507
11/1/04,1.2997
12/1/04,1.3406
1/1/05,1.3123
2/1/05,1.3013
3/1/05,1.3185
4/1/05,1.2943
5/1/05,1.2697
6/1/05,1.2155
7/1/05,1.2041
8/1/05,1.2295
9/1/05,1.2234
10/1/05,1.2022
11/1/05,1.1789
12/1/05,1.1861
1/1/06,1.2126
2/1/06,1.194
3/1/06,1.2028
4/1/06,1.2273
5/1/06,1.2767
6/1/06,1.2661
7/1/06,1.2681
8/1/06,1.281
9/1/06,1.2722
10/1/06,1.2617
11/1/06,1.2888
12/1/06,1.3205
1/1/07,1.2993
2/1/07,1.308
3/1/07,1.3246
4/1/07,1.3513
5/1/07,1.3518
6/1/07,1.3421
7/1/07,1.3726
8/1/07,1.3626
9/1/07,1.391
10/1/07,1.4233
11/1/07,1.4683
12/1/07,1.4559
1/1/08,1.4728
2/1/08,1.4759
3/1/08,1.552
4/1/08,1.5754
5/1/08,1.5554
6/1/08,1.5562
7/1/08,1.5759
8/1/08,1.4955
9/1/08,1.4342
10/1/08,1.3266
11/1/08,1.2744
12/1/08,1.3511
1/1/09,1.3244
2/1/09,1.2797
3/1/09,1.305
4/1/09,1.3199
5/1/09,1.3646
6/1/09,1.4014
7/1/09,1.4092
8/1/09,1.4266
9/1/09,1.4575
10/1/09,1.4821
11/1/09,1.4908
12/1/09,1.4579
1/1/10,1.4266
2/1/10,1.368
3/1/10,1.357
4/1/10,1.3417
5/1/10,1.2563
6/1/10,1.2223
7/1/10,1.2811
8/1/10,1.2903
9/1/10,1.3103
10/1/10,1.3901
11/1/10,1.3654
12/1/10,1.3221
1/1/11,1.3371
2/1/11,1.3656
3/1/11,1.402
4/1/11,1.446
5/1/11,1.4335
6/1/11,1.4403
2011-07-01,1.4275
2011-08-01,1.4333
2011-09-01,1.3747
2011-10-01,1.3732
2011-11-01,1.3558
2011-12-01,1.3155
2012-01-01,1.291
2012-02-01,1.3238
2012-03-01,1.3208
2012-04-01,1.316
2012-05-01,1.2806
2012-06-01,1.2541
2012-07-01,1.2278
1990-08-17,332.36
1990-08-20,327.83
1990-08-21,328.51
1990-08-22,321.86
1990-08-23,316.55
1990-08-24,307.06
1990-08-27,311.55
1990-08-28,321.44
1990-08-29,321.34
1990-08-30,324.19
1990-08-31,318.71
1990-09-03,
1990-09-04,322.56
1990-09-05,323.09
1990-09-06,324.39
1990-09-07,320.46
1990-09-10,323.42
1990-09-11,321.63
1990-09-12,321.04
1990-09-13,322.51
1990-09-14,318.65
1990-09-17,316.83
1990-09-18,317.77
1990-09-19,318.6
1990-09-20,316.6
1990-09-21,311.53
1990-09-24,311.3
1990-09-25,305.46
1990-09-26,308.26
1990-09-27,305.06
1990-09-28,300.97
1990-10-01,306.1
1990-10-02,314.94
1990-10-03,315.21
1990-10-04,311.4
1990-10-05,312.69
1990-10-08,311.5
1990-10-09,313.46
1990-10-10,305.09
1990-10-11,300.39
1990-10-12,295.45
1990-10-15,300.03
1990-10-16,303.23
1990-10-17,298.92
1990-10-18,298.75
1990-10-19,305.74
1990-10-22,312.48
1990-10-23,314.76
1990-10-24,312.36
1990-10-25,312.6
1990-10-26,310.17
1990-10-29,304.74
1990-10-30,301.88
1990-10-31,304.06
1990-11-01,303.99
1990-11-02,307.02
1990-11-05,311.85
1990-11-06,314.59
1990-11-07,311.62
1990-11-08,306.01
1990-11-09,307.61
1990-11-12,313.74
1990-11-13,319.48
1990-11-14,317.66
1990-11-15,320.4
1990-11-16,317.02
1990-11-19,317.15
1990-11-20,319.34
1990-11-21,315.31
1990-11-22,
1990-11-23,316.03
1990-11-26,315.08
1990-11-27,316.51
1990-11-28,318.11
1990-11-29,317.95
1990-11-30,316.42
1990-12-03,322.23
1990-12-04,324.11
1990-12-05,326.36
1990-12-06,329.94
1990-12-07,329.09
1990-12-10,327.75
1990-12-11,328.88
1990-12-12,326.44
1990-12-13,330.14
1990-12-14,329.34
1990-12-17,326.82
1990-12-18,326.02
1990-12-19,330.04
1990-12-20,330.2
1990-12-21,330.12
1990-12-24,331.74
1990-12-25,
1990-12-26,329.89
1990-12-27,330.85
1990-12-28,328.29
1990-12-31,328.71
1991-01-01,
1991-01-02,330.2
01/03/1991,326.46
01/04/1991,321.91
01/07/1991,320.97
01/08/1991,315.44
01/09/1991,314.9
1/10/1991,311.51
1/11/1991,314.53
1/14/1991,315.23
1/15/1991,312.49
1/16/1991,313.73
1/17/1991,316.25
1/18/1991,327.93
1/21/1991,332.23
1/22/1991,331.06
1/23/1991,328.3
1/24/1991,330.21
1/25/1991,334.78
1/28/1991,336.06
1/29/1991,336.03
1/30/1991,335.8
1/31/1991,340.92
02/01/1991,343.91
02/04/1991,343.05
02/05/1991,348.34
02/06/1991,351.26
02/07/1991,358.07
02/08/1991,356.52
2/11/1991,359.36
2/12/1991,368.58
2/13/1991,365.5
2/14/1991,369.02
2/15/1991,364.23
2/18/1991,
2/19/1991,369.06
2/20/1991,369.37
2/21/1991,365.14
2/22/1991,364.97
2/25/1991,365.65
2/26/1991,367.26
2/27/1991,362.81
2/28/1991,367.73
03/01/1991,367.07
03/04/1991,370.47
03/05/1991,369.33
03/06/1991,376.72
03/07/1991,376.16
03/08/1991,375.91
3/11/1991,374.94
3/12/1991,372.96
3/13/1991,370.03
3/14/1991,374.59
3/15/1991,373.5
3/18/1991,373.59
3/19/1991,372.11
3/20/1991,366.59
3/21/1991,367.94
3/22/1991,366.58
3/25/1991,367.48
3/26/1991,369.83
3/27/1991,376.28
3/28/1991,375.35
3/29/1991,
04/01/1991,375.22
04/02/1991,371.3
04/03/1991,379.5
04/04/1991,378.94
04/05/1991,379.78
04/08/1991,375.35
04/09/1991,378.65
4/10/1991,373.57
4/11/1991,373.15
4/12/1991,377.65
4/15/1991,380.4
4/16/1991,381.19
4/17/1991,387.62
4/18/1991,390.45
4/19/1991,388.46
4/22/1991,384.19
4/23/1991,380.95
4/24/1991,381.76
4/25/1991,382.89
4/26/1991,379.25
4/29/1991,379.01
4/30/1991,373.66
05/01/1991,375.35
05/02/1991,380.29
05/03/1991,380.52
05/06/1991,380.78
05/07/1991,380.08
05/08/1991,377.33
05/09/1991,378.51
5/10/1991,383.26
5/13/1991,375.74
5/14/1991,375.51
5/15/1991,371.55
5/16/1991,368.57
5/17/1991,372.19
5/20/1991,372.39
5/21/1991,372.28
5/22/1991,375.35
5/23/1991,376.19
5/24/1991,374.97
5/27/1991,
5/28/1991,377.49
5/29/1991,381.94
5/30/1991,382.79
5/31/1991,386.96
06/03/1991,389.81
06/04/1991,388.06
06/05/1991,387.74
06/06/1991,385.1
06/07/1991,383.63
6/10/1991,379.43
6/11/1991,378.57
6/12/1991,381.05
6/13/1991,376.65
6/14/1991,377.63
6/17/1991,382.3
6/18/1991,380.13
6/19/1991,378.57
6/20/1991,375.09
6/21/1991,375.42
6/24/1991,377.74
6/25/1991,370.94
6/26/1991,370.65
6/27/1991,371.59
6/28/1991,374.4
07/01/1991,371.18
07/02/1991,377.92
07/03/1991,377.47
07/04/1991,
07/05/1991,373.34
07/08/1991,374.09
07/09/1991,377.94
7/10/1991,376.11
7/11/1991,375.73
7/12/1991,376.97
7/15/1991,380.28
7/16/1991,382.39
7/17/1991,381.5
7/18/1991,381.18
7/19/1991,385.38
7/22/1991,384.21
7/23/1991,382.88
7/24/1991,379.42
7/25/1991,378.64
7/26/1991,380.96
7/29/1991,380.93
7/30/1991,383.15
7/31/1991,386.69
08/01/1991,387.81
08/02/1991,387.12
08/05/1991,387.17
08/06/1991,385.06
08/07/1991,390.62
08/08/1991,390.56
08/09/1991,389.32
8/12/1991,387.11
8/13/1991,388.02
8/14/1991,389.62
8/15/1991,389.91
8/16/1991,389.33
8/19/1991,385.58
8/20/1991,376.47
8/21/1991,379.55
8/22/1991,390.59
8/23/1991,391.33
8/26/1991,394.17
8/27/1991,393.85
8/28/1991,393.06
8/29/1991,396.65
8/30/1991,396.47
09/02/1991,
09/03/1991,395.43
09/04/1991,392.15
09/05/1991,389.97
09/06/1991,389.14
09/09/1991,389.11
9/10/1991,388.57
9/11/1991,384.56
9/12/1991,385.09
9/13/1991,387.16
9/16/1991,383.59
9/17/1991,385.78
9/18/1991,385.49
9/19/1991,386.94
9/20/1991,387.56
9/23/1991,387.9
9/24/1991,385.92
9/25/1991,387.72
9/26/1991,386.87
9/27/1991,386.49
9/30/1991,385.91
10/01/1991,387.86
10/02/1991,389.2
10/03/1991,388.23
10/04/1991,384.47
10/07/1991,381.22
10/08/1991,379.5
10/09/1991,380.57
10/10/1991,376.8
10/11/1991,380.55
10/14/1991,381.45
10/15/1991,386.47
10/16/1991,391.01
10/17/1991,392.79
10/18/1991,391.92
10/21/1991,392.49
10/22/1991,390.02
10/23/1991,387.83
10/24/1991,387.94
10/25/1991,385.07
10/28/1991,384.2
10/29/1991,389.52
10/30/1991,391.48
10/31/1991,392.96
11/01/1991,392.46
11/04/1991,391.29
11/05/1991,390.28
11/06/1991,388.71
11/07/1991,389.97
11/08/1991,393.72
11/11/1991,392.9
11/12/1991,393.12
11/13/1991,396.74
11/14/1991,397.41
11/15/1991,397.15
11/18/1991,382.62
11/19/1991,385.24
11/20/1991,379.42
11/21/1991,378.53
11/22/1991,380.05
11/25/1991,376.14
11/26/1991,375.34
11/27/1991,377.96
11/28/1991,
11/29/1991,376.55
12/02/1991,375.11
12/03/1991,381.4
12/04/1991,380.96
12/05/1991,380.07
12/06/1991,377.39
12/09/1991,379.09
12/10/1991,378.26
12/11/1991,377.9
12/12/1991,377.7
12/13/1991,381.55
12/16/1991,384.48
12/17/1991,384.46
12/18/1991,382.74
12/19/1991,383.46
12/20/1991,382.52
12/23/1991,387.05
12/24/1991,396.82
12/25/1991,
12/26/1991,399.33
12/27/1991,404.84
12/30/1991,406.49
12/31/1991,415.14
01/01/1992,
01/02/1992,417.03
01/03/1992,417.27
01/06/1992,419.31
01/07/1992,417.96
01/08/1992,417.36
01/09/1992,418.09
1/10/1992,417.62
1/13/1992,415.05
1/14/1992,414.34
1/15/1992,420.45
1/16/1992,420.77
1/17/1992,418.2
1/20/1992,418.86
1/21/1992,416.36
1/22/1992,412.65
1/23/1992,418.13
1/24/1992,414.96
1/27/1992,415.44
1/28/1992,414.98
1/29/1992,414.96
1/30/1992,410.34
1/31/1992,411.65
02/03/1992,408.79
02/04/1992,409.6
02/05/1992,413.88
02/06/1992,413.87
02/07/1992,413.82
2/10/1992,411.07
2/11/1992,413.77
2/12/1992,413.77
2/13/1992,417.13
2/14/1992,413.69
