obs,CPI_Germany,CPI_US,EX_dollar_euro
1999M01,90.75176,164.3,1.1591
1999M02,90.85992,164.5,1.1203
1999M03,90.85992,165,1.0886
1999M04,91.29259,166.2,1.0701
1999M05,91.29259,166.2,1.063
1999M06,91.40076,166.2,1.0377
1999M07,91.83342,166.7,1.037
1999M08,91.72526,167.1,1.0605
1999M09,91.50892,167.9,1.0497
1999M10,91.40076,168.2,1.0706
1999M11,91.61709,168.3,1.0328
1999M12,91.94159,168.3,1.011
2000M01,92.15792,168.8,1.0131
2000M02,92.26609,169.8,0.9834
2000M03,92.26609,171.2,0.9643
2000M04,92.26609,171.3,0.9449
2000M05,92.15792,171.5,0.9059
2000M06,92.59059,172.4,0.9505
2000M07,93.02326,172.8,0.9386
2000M08,92.80692,172.8,0.9045
2000M09,93.02326,173.7,0.8695
2000M10,92.91509,174,0.8525
2000M11,93.02326,174.1,0.8552
2000M12,93.78042,174,0.8983
2001M01,93.45592,175.1,0.9376
2001M02,93.99676,175.8,0.9205
2001M03,93.99676,176.2,0.9083
2001M04,94.42942,176.9,0.8925
2001M05,94.75392,177.7,0.8753
2001M06,94.86209,178,0.853
2001M07,94.97025,177.5,0.8615
2001M08,94.75392,177.5,0.9014
2001M09,94.75392,178.3,0.9114
2001M10,94.64575,177.7,0.905
2001M11,94.42942,177.4,0.8883
2001M12,95.29475,176.7,0.8912
2002M01,95.40292,177.1,0.8832
2002M02,95.72742,177.8,0.8707
2002M03,95.94375,178.8,0.8766
2002M04,95.83559,179.8,0.886
2002M05,95.94375,179.8,0.917
2002M06,95.94375,179.9,0.9561
2002M07,96.05192,180.1,0.9935
2002M08,95.94375,180.7,0.9781
2002M09,95.94375,181,0.9806
2002M10,95.83559,181.3,0.9812
2002M11,95.51109,181.3,1.0013
2002M12,96.37642,180.9,1.0194
2003M01,96.37642,181.7,1.0622
2003M02,96.91725,183.1,1.0785
2003M03,97.02542,184.2,1.0797
2003M04,96.70092,183.8,1.0862
2003M05,96.48459,183.5,1.1556
2003M06,96.80909,183.7,1.1674
2003M07,97.02542,183.9,1.1365
2003M08,97.02542,184.6,1.1155
2003M09,96.91725,185.2,1.1267
2003M10,96.91725,185,1.1714
2003M11,96.70092,184.5,1.171
2003M12,97.45809,184.3,1.2298
2004M01,97.45809,185.2,1.2638
2004M02,97.67442,186.2,1.264
2004M03,97.99892,187.4,1.2261
2004M04,98.32342,188,1.1989
2004M05,98.53975,189.1,1.2
2004M06,98.53975,189.7,1.2146
2004M07,98.75608,189.4,1.2266
2004M08,98.86425,189.5,1.2191
2004M09,98.64792,189.9,1.2224
2004M10,98.75608,190.9,1.2507
2004M11,98.53975,191,1.2997
2004M12,99.62142,190.3,1.3406
2005M01,98.86425,190.7,1.3123
2005M02,99.29692,191.8,1.3013
2005M03,99.72958,193.3,1.3185
2005M04,99.51325,194.6,1.2943
2005M05,99.72958,194.4,1.2697
2005M06,99.83775,194.5,1.2155
2005M07,100.2704,195.4,1.2041
2005M08,100.3786,196.4,1.2295
2005M09,100.4867,198.8,1.2234
2005M10,100.5949,199.2,1.2022
2005M11,100.2704,197.6,1.1789
2005M12,101.0276,196.8,1.1861
2006M01,100.7031,198.3,1.2126
2006M02,101.1357,198.7,1.194
2006M03,101.1357,199.8,1.2028
2006M04,101.4602,201.5,1.2273
2006M05,101.4602,202.5,1.2767
2006M06,101.6766,202.9,1.2661
2006M07,102.1092,203.5,1.2681
2006M08,101.8929,203.9,1.281
2006M09,101.5684,202.9,1.2722
2006M10,101.6766,201.8,1.2617
2006M11,101.6766,201.5,1.2888
2006M12,102.4337,201.8,1.3205
2007M01,102.4337,202.416,1.2993
2007M02,102.8664,203.499,1.308
2007M03,103.0827,205.352,1.3246
2007M04,103.6236,206.686,1.3513
2007M05,103.6236,207.949,1.3518
2007M06,103.6236,208.352,1.3421
2007M07,104.1644,208.299,1.3726
2007M08,104.0562,207.917,1.3626
2007M09,104.2726,208.49,1.391
2007M10,104.4889,208.936,1.4233
2007M11,105.0297,210.177,1.4683
2007M12,105.6787,210.036,1.4559
2008M01,105.3542,211.08,1.4728
2008M02,105.7869,211.693,1.4759
2008M03,106.3277,213.528,1.552
2008M04,106.1114,214.823,1.5754
2008M05,106.7604,216.632,1.5554
2008M06,106.9767,218.815,1.5562
2008M07,107.6257,219.964,1.5759
2008M08,107.3012,219.086,1.4955
2008M09,107.1931,218.783,1.4342
2008M10,106.9767,216.573,1.3266
2008M11,106.4359,212.425,1.2744
2008M12,106.8686,210.228,1.3511
2009M01,106.3277,211.143,1.3244
2009M02,106.9767,212.193,1.2797
2009M03,106.7604,212.709,1.305
2009M04,106.8686,213.24,1.3199
2009M05,106.7604,213.856,1.3646
2009M06,107.0849,215.693,1.4014
2009M07,107.0849,215.351,1.4092
2009M08,107.3012,215.834,1.4266
2009M09,106.9767,215.969,1.4575
2009M10,106.9767,216.177,1.4821
2009M11,106.8686,216.33,1.4908
2009M12,107.7339,215.949,1.4579
2010M01,107.0849,216.687,1.4266
2010M02,107.5176,216.741,1.368
2010M03,108.0584,217.631,1.357
2010M04,108.1666,218.009,1.3417
2010M05,108.0584,218.178,1.2563
2010M06,108.0584,217.965,1.2223
2010M07,108.2747,218.011,1.2811
2010M08,108.3829,218.312,1.2903
2010M09,108.2747,218.439,1.3103
2010M10,108.3829,218.711,1.3901
2010M11,108.4911,218.803,1.3654
2010M12,109.1401,219.179,1.3221
2011M01,108.9237,220.223,1.3371
2011M02,109.5727,221.309,1.3656
2011M03,110.2217,223.467,1.402
2011M04,110.2217,224.906,1.446
2011M05,110.2217,225.964,1.4335
2011M06,110.3299,225.722,1.4403
2011M07,110.5462,225.922,1.4275
2011M08,110.6544,226.545,1.4333
2011M09,110.8707,226.889,1.3747
2011M10,110.8707,226.421,1.3732
2011M11,111.0871,226.23,1.3558
2011M12,111.3034,225.672,1.3155
2012M01,111.1952,226.665,1.291
2012M02,111.9524,227.663,1.3238
2012M03,112.6014,229.392,1.3208
2012M04,112.3851,230.085,1.316
2012M05,112.3851,229.815,1.2806
2012M06,112.1687,229.478,1.2541
2012M07,112.6014,229.104,1.2278
2012M08,113.0341,230.379,1.2406
2012M09,113.1422,231.407,1.2885
2012M10,113.1422,231.317,1.2974
2012M11,113.2504,230.221,1.2837
2012M12,113.5749,229.601,1.3119
2013M01,113.0341,230.28,1.3304
