date,cpi,nominal
1957-01-01,28.7,3.08
1957-04-01,28.9,3.29
1957-07-01,29.1,3.53
1957-10-01,29.3,3.04
1958-01-01,29.5,1.3
1958-04-01,29.6,0.83
1958-07-01,29.7,2.44
1958-10-01,29.9,2.77
1959-01-01,30,2.8
1959-04-01,30.2,3.21
1959-07-01,30.3,4.04
1959-10-01,30.5,4.49
1960-01-01,30.6,3.31
1960-04-01,30.7,2.46
1960-07-01,30.6,2.48
1960-10-01,30.7,2.25
1961-01-01,30.9,2.39
1961-04-01,31,2.33
1961-07-01,31.1,2.28
1961-10-01,31.2,2.6
1962-01-01,31.3,2.72
1962-04-01,31.4,2.73
1962-07-01,31.5,2.78
1962-10-01,31.6,2.87
1963-01-01,31.7,2.89
1963-04-01,31.8,2.99
1963-07-01,31.9,3.38
1963-10-01,32.1,3.52
1964-01-01,32.2,3.54
1964-04-01,32.3,3.48
1964-07-01,32.3,3.53
1964-10-01,32.5,3.84
1965-01-01,32.6,3.93
1965-04-01,32.7,3.8
1965-07-01,32.8,3.92
1965-10-01,33,4.38
1966-01-01,33.1,4.59
1966-04-01,33.5,4.5
1966-07-01,33.8,5.37
1966-10-01,34.1,4.96
1967-01-01,34.3,4.26
1967-04-01,34.6,3.54
1967-07-01,35,4.42
1967-10-01,35.4,4.97
1968-01-01,35.8,5.17
1968-04-01,36.2,5.52
1968-07-01,36.7,5.19
1968-10-01,37.2,5.96
1969-01-01,37.8,6.02
1969-04-01,38.3,6.44
1969-07-01,38.9,7.09
1969-10-01,39.4,7.82
1970-01-01,40.1,6.63
1970-04-01,40.8,6.68
1970-07-01,41.3,6.12
1970-10-01,42,4.87
1971-01-01,42.2,3.38
1971-04-01,42.8,4.75
1971-07-01,43,4.69
1971-10-01,43.3,4.01
1972-01-01,43.6,3.73
1972-04-01,44,3.91
1972-07-01,44.3,4.66
1972-10-01,44.6,5.07
1973-01-01,45,6.09
1973-04-01,45.4,7.19
1973-07-01,46,8.29
1973-10-01,46.7,7.45
1974-01-01,47.6,7.96
1974-04-01,49,7.9
1974-07-01,50.7,8.06
1974-10-01,52,7.15
1975-01-01,53,5.49
1975-04-01,53.8,5.34
1975-07-01,54.5,6.42
1975-10-01,55.5,5.44
1976-01-01,56.5,5
1976-04-01,57.2,5.41
1976-07-01,58.2,5.08
