obs,TB3Month,TB10Year
1954M04,0.97,2.29
1954M05,0.76,2.37
1954M06,0.64,2.38
1954M07,0.72,2.3
1954M08,0.92,2.36
1954M09,1.01,2.38
1954M10,0.98,2.43
1954M11,0.93,2.48
1954M12,1.15,2.51
1955M01,1.22,2.61
1955M02,1.17,2.65
1955M03,1.28,2.68
1955M04,1.59,2.75
1955M05,1.45,2.76
1955M06,1.41,2.78
1955M07,1.6,2.9
1955M08,1.9,2.97
1955M09,2.07,2.97
1955M10,2.23,2.88
1955M11,2.24,2.89
1955M12,2.54,2.96
1956M01,2.41,2.9
1956M02,2.32,2.84
1956M03,2.25,2.96
1956M04,2.6,3.18
1956M05,2.61,3.07
1956M06,2.49,3
1956M07,2.31,3.11
1956M08,2.6,3.33
1956M09,2.84,3.38
1956M10,2.9,3.34
1956M11,2.99,3.49
1956M12,3.21,3.59
1957M01,3.11,3.46
1957M02,3.1,3.34
1957M03,3.08,3.41
1957M04,3.07,3.48
1957M05,3.06,3.6
1957M06,3.29,3.8
1957M07,3.16,3.93
1957M08,3.37,3.93
1957M09,3.53,3.92
1957M10,3.58,3.97
1957M11,3.31,3.72
1957M12,3.04,3.21
1958M01,2.44,3.09
1958M02,1.53,3.05
1958M03,1.3,2.98
1958M04,1.13,2.88
1958M05,0.91,2.92
1958M06,0.83,2.97
1958M07,0.91,3.2
1958M08,1.69,3.54
1958M09,2.44,3.76
1958M10,2.63,3.8
1958M11,2.67,3.74
1958M12,2.77,3.86
1959M01,2.82,4.02
1959M02,2.7,3.96
1959M03,2.8,3.99
1959M04,2.95,4.12
1959M05,2.84,4.31
1959M06,3.21,4.34
1959M07,3.2,4.4
1959M08,3.38,4.43
1959M09,4.04,4.68
1959M10,4.05,4.53
1959M11,4.15,4.53
1959M12,4.49,4.69
1960M01,4.35,4.72
1960M02,3.96,4.49
1960M03,3.31,4.25
1960M04,3.23,4.28
1960M05,3.29,4.35
1960M06,2.46,4.15
1960M07,2.3,3.9
1960M08,2.3,3.8
1960M09,2.48,3.8
1960M10,2.3,3.89
1960M11,2.37,3.93
1960M12,2.25,3.84
1961M01,2.24,3.84
1961M02,2.42,3.78
1961M03,2.39,3.74
1961M04,2.29,3.78
1961M05,2.29,3.71
1961M06,2.33,3.88
1961M07,2.24,3.92
1961M08,2.39,4.04
1961M09,2.28,3.98
1961M10,2.3,3.92
1961M11,2.48,3.94
1961M12,2.6,4.06
1962M01,2.72,4.08
1962M02,2.73,4.04
1962M03,2.72,3.93
1962M04,2.73,3.84
1962M05,2.69,3.87
1962M06,2.73,3.91
1962M07,2.92,4.01
1962M08,2.82,3.98
1962M09,2.78,3.98
1962M10,2.74,3.93
1962M11,2.83,3.92
1962M12,2.87,3.86
1963M01,2.91,3.83
1963M02,2.92,3.92
1963M03,2.89,3.93
1963M04,2.9,3.97
1963M05,2.93,3.93
1963M06,2.99,3.99
1963M07,3.18,4.02
1963M08,3.32,4
1963M09,3.38,4.08
1963M10,3.45,4.11
1963M11,3.52,4.12
1963M12,3.52,4.13
1964M01,3.52,4.17
1964M02,3.53,4.15
1964M03,3.54,4.22
1964M04,3.47,4.23
1964M05,3.48,4.2
1964M06,3.48,4.17
1964M07,3.46,4.19
1964M08,3.5,4.19
1964M09,3.53,4.2
1964M10,3.57,4.19
1964M11,3.64,4.15
1964M12,3.84,4.18
1965M01,3.81,4.19
1965M02,3.93,4.21
1965M03,3.93,4.21
1965M04,3.93,4.2
1965M05,3.89,4.21
1965M06,3.8,4.21
1965M07,3.84,4.2
1965M08,3.84,4.25
1965M09,3.92,4.29
1965M10,4.03,4.35
1965M11,4.09,4.45
1965M12,4.38,4.62
1966M01,4.59,4.61
1966M02,4.65,4.83
1966M03,4.59,4.87
1966M04,4.62,4.75
1966M05,4.64,4.78
1966M06,4.5,4.81
1966M07,4.8,5.02
1966M08,4.96,5.22
1966M09,5.37,5.18
1966M10,5.35,5.01
1966M11,5.32,5.16
1966M12,4.96,4.84
1967M01,4.72,4.58
1967M02,4.56,4.63
1967M03,4.26,4.54
1967M04,3.84,4.59
1967M05,3.6,4.85
1967M06,3.54,5.02
1967M07,4.21,5.16
1967M08,4.27,5.28
1967M09,4.42,5.3
1967M10,4.56,5.48
1967M11,4.73,5.75
1967M12,4.97,5.7
1968M01,5,5.53
1968M02,4.98,5.56
1968M03,5.17,5.74
1968M04,5.38,5.64
1968M05,5.66,5.87
1968M06,5.52,5.72
1968M07,5.31,5.5
1968M08,5.09,5.42
1968M09,5.19,5.46
1968M10,5.35,5.58
1968M11,5.45,5.7
1968M12,5.96,6.03
1969M01,6.14,6.04
1969M02,6.12,6.19
1969M03,6.02,6.3
1969M04,6.11,6.17
1969M05,6.04,6.32
1969M06,6.44,6.57
1969M07,7,6.72
1969M08,6.98,6.69
1969M09,7.09,7.16
1969M10,7,7.1
1969M11,7.24,7.14
1969M12,7.82,7.65
1970M01,7.87,7.79
1970M02,7.13,7.24
1970M03,6.63,7.07
1970M04,6.51,7.39
1970M05,6.84,7.91
1970M06,6.68,7.84
1970M07,6.45,7.46
1970M08,6.41,7.53
1970M09,6.12,7.39
1970M10,5.91,7.33
1970M11,5.28,6.84
1970M12,4.87,6.39
1971M01,4.44,6.24
1971M02,3.7,6.11
1971M03,3.38,5.7
1971M04,3.86,5.83
1971M05,4.14,6.39
1971M06,4.75,6.52
1971M07,5.4,6.73
