obs,ILA,IRV
1975Q1,15.98,22.4
1975Q2,17.15,23.75
1975Q3,17.66,24.19
1975Q4,18.33,24.58
1976Q1,19.09,26.33
1976Q2,20.34,27.14
1976Q3,21.37,27.25
1976Q4,22.43,29.42
1977Q1,24.09,33.45
1977Q2,26.04,33.79
1977Q3,27.71,35.67
1977Q4,28.29,37.73
1978Q1,29.07,38.9
1978Q2,30.39,40.53
1978Q3,31.51,42.18
1978Q4,32.5,43.65
1979Q1,33.54,44.91
1979Q2,35.65,47.3
1979Q3,37.5,49.44
1979Q4,38.36,51.38
1980Q1,40.04,51.66
1980Q2,41.47,53.08
1980Q3,43.07,54.6
1980Q4,43.2,54.81
1981Q1,44.43,57.19
1981Q2,45.68,58.71
1981Q3,47,58.83
1981Q4,46.68,59.95
1982Q1,46.89,59.21
1982Q2,46.03,59.04
1982Q3,45.05,60.57
1982Q4,46.37,59.28
1983Q1,46.43,59.24
1983Q2,47.03,59.64
1983Q3,47.18,59.03
1983Q4,47.53,58.07
1984Q1,47.96,59.69
1984Q2,48.14,59.97
1984Q3,48.63,59.89
1984Q4,48.9,60.34
1985Q1,49.71,60.7
1985Q2,50.37,61.53
1985Q3,51.51,62.14
1985Q4,52,62
1986Q1,52.9,63.1
1986Q2,54.27,64.03
1986Q3,55.38,65.16
1986Q4,56.83,65.88
1987Q1,58.45,67.08
1987Q2,60.62,68.03
1987Q3,62.87,68.88
1987Q4,65.27,70.24
1988Q1,67.94,71.54
1988Q2,71.81,74.05
1988Q3,76.65,76.38
1988Q4,81.47,79.67
1989Q1,85.39,83.12
1989Q2,89.8,88.27
1989Q3,93.15,92.27
1989Q4,95.18,95.7
1990Q1,95.57,97.06
1990Q2,94.94,98.18
1990Q3,94.63,98.15
1990Q4,93.19,97.36
1991Q1,91.51,96.01
1991Q2,91.11,95.54
1991Q3,90.74,94.96
1991Q4,90.59,95.54
1992Q1,89.57,94.53
1992Q2,88.43,93.35
1992Q3,87.59,92.76
1992Q4,85.47,90.47
1993Q1,82.1,87.86
1993Q2,81.08,85.61
1993Q3,79.02,84.78
1993Q4,76.64,81.95
1994Q1,75.27,80.86
1994Q2,76.04,80.64
1994Q3,75.15,80.04
1994Q4,74.02,78.23
1995Q1,73.44,77.49
1995Q2,73.15,76.74
1995Q3,72.26,76.28
1995Q4,71.53,75.15
1996Q1,71.11,74.95
1996Q2,72.51,75.74
1996Q3,72.02,75.56
1996Q4,71.16,74.74
1997Q1,71.61,74.55
1997Q2,73.19,75.59
1997Q3,74.16,76.14
1997Q4,75.11,76.71
1998Q1,77.65,78.02
1998Q2,81.17,80.78
1998Q3,82.79,82.65
1998Q4,83.46,84.4
1999Q1,85.53,86.14
1999Q2,88.39,89.06
1999Q3,90.02,89.68
1999Q4,91.46,91.71
2000Q1,93.57,93.5
2000Q2,96.82,96.51
2000Q3,98.72,98.19
2000Q4,100,100
2001Q1,103.36,102.97
2001Q2,106.93,106.11
2001Q3,109.92,108.58
2001Q4,111.86,110.54
2002Q1,116.45,114.33
2002Q2,123.26,120
2002Q3,128.15,125.48
2002Q4,132.45,129.62
2003Q1,138.24,135.43
2003Q2,145.77,142.35
2003Q3,153.9,151.65
2003Q4,162.28,158.4
2004Q1,172.55,169.69
2004Q2,188.45,186.73
2004Q3,192.98,197.88
2004Q4,199.98,205.27
2005Q1,209.9,214.96
2005Q2,223.04,228.81
2005Q3,234.38,237.77
2005Q4,242.04,248.62
2006Q1,246.36,251.16
2006Q2,250.91,254.09
2006Q3,250.41,251.57
2006Q4,244.15,244.36
2007Q1,246.41,245.94
2007Q2,243.92,240.12
2007Q3,230.59,221.34
2007Q4,212.05,196.8
2008Q1,194.03,172.05
2008Q2,186.48,156.06
2008Q3,178.09,143.45
2008Q4,165.46,130.79
2009Q1,160.42,122.68
2009Q2,164.95,122.27
2009Q3,169.2,125.83
2009Q4,169.83,127.91
2010Q1,170.05,127.6
2010Q2,170.55,127.94
2010Q3,166.88,125.55
2010Q4,163,123.3
2011Q1,161.85,119.26
2011Q2,159.58,118.44
2011Q3,156.96,116.09
2011Q4,153.53,115.04
2012Q1,153.8,116.45
2012Q2,160.84,121.25
2012Q3,165.46,126.16
2012Q4,167.42,132.76
